"date","rank","code","name","sector","close","turnover","turnover_ma"
"2010-11-11","5","7203","トヨタ自動車","自動車","403.268737792969","21623874623.5657","18682657946.0449"
"2010-11-11","6","8306","三菱UFJフィナンシャル・グループ","銀行","235.487274169922","19135012985.9528","16732442210.6504"
"2010-11-11","7","8058","三菱商事","商社","417.371673583984","9313732370.36132","13593156338.7305"
"2010-11-11","8","7267","本田技研工業","自動車","612.270874023438","7082014745.6543","12833780386.4319"
"2010-11-11","9","6758","ソニーグループ","電気機器","488.010314941406","11453602091.6748","12692561875.6806"
"2010-11-11","10","6954","ファナック","電気機器","1777.31591796875","8872361062.5","12597332696.8506"
"2010-11-12","1","2914","日本たばこ産業","食品","688.50634765625","390314248486.328","349069906263.183"
"2010-11-12","2","9984","ソフトバンクグループ","通信","318.582244873047","19249503832.6172","29893354647.6367"
"2010-11-12","3","8316","三井住友フィナンシャルグループ","銀行","445.56396484375","15255798261.4746","20304374329.6619"
"2010-11-12","4","7203","トヨタ自動車","自動車","400.679595947266","16204885238.6933","18321500708.4015"
"2010-11-12","5","6301","小松製作所","機械","1363.4814453125","9679900172.85156","16320519612.8711"
"2010-11-12","6","8306","三菱UFJフィナンシャル・グループ","銀行","231.355880737305","11831516605.3177","15893315365.5762"
"2010-11-12","7","6954","ファナック","電気機器","1724.240234375","12322282834.9609","11563908724.1943"
"2010-11-12","8","8604","野村ホールディングス","証券","272.897613525391","12408272430.3406","11334989652.4448"
"2010-11-12","9","8411","みずほフィナンシャルグループ","銀行","663.433166503906","9549503438.97888","11292984781.0087"
"2010-11-12","10","6758","ソニーグループ","電気機器","480.758239746094","8946430083.43506","11284599803.183"
"2010-11-15","1","2914","日本たばこ産業","食品","689.738098144531","247395261042.48","353149210245.361"
"2010-11-15","2","9984","ソフトバンクグループ","通信","317.124938964844","14464956416.0156","30503695316.875"
"2010-11-15","3","8316","三井住友フィナンシャルグループ","銀行","447.339782714844","12429514798.645","20377289871.0901"
"2010-11-15","4","7203","トヨタ自動車","自動車","406.505249023438","17030537407.8369","17846376601.8158"
"2010-11-15","5","8306","三菱UFJフィナンシャル・グループ","銀行","230.765731811523","13881181835.939","16501971045.3006"
"2010-11-15","6","8411","みずほフィナンシャルグループ","銀行","663.433166503906","22373016382.9962","14924235907.5303"
