"date","rank","code","name","sector","close","turnover","turnover_ma"
"2000-05-01","9","6701","日本電気","電気機器","4602.634765625","16274916531.25","10492543155.9082"
"2000-05-01","10","9433","ＫＤＤＩ","情報・通信業","586.828735351563","3832226373.33985","10252106395.9131"
"2000-05-02","1","2914","日本たばこ産業","食料品","361.641357421875","220420407348.633","302460601043.701"
"2000-05-02","2","9432","ＮＴＴ","情報・通信業","73.0844421386719","354459544372.559","234526461296.081"
"2000-05-02","3","9984","ソフトバンクグループ","情報・通信業","1047.44921875","108222453281.25","132132554042.783"
"2000-05-02","4","6857","アドバンテスト","電気機器","2430.07373046875","22407223853.9063","35064341719.6875"
"2000-05-02","5","6758","ソニーグループ","電気機器","2065.39038085938","20448397465.6983","25116870002.1729"
"2000-05-02","6","6702","富士通","電気機器","2412.78442382813","16923269948.7305","16017559153.125"
"2000-05-02","7","6701","日本電気","電気機器","4483.4736328125","10482361353.5156","10974947143.2129"
"2000-05-02","8","7203","トヨタ自動車","輸送用機器","616.638427734375","6770689936.52344","10117711740.0513"
"2000-05-02","9","7751","キヤノン","電気機器","1573.45056152344","11289901141.5711","10071195885.9558"
"2000-05-02","10","6971","京セラ","電気機器","1408.11462402344","13809661740.7227","9590493636.67969"
"2000-05-12","1","7203","トヨタ自動車","輸送用機器","593.348022460938","13279128742.6758","9574830784.66797"
"2000-05-12","2","7752","リコー","電気機器","1365.2158203125","5787149862.30469","3657110330.51758"
"2000-05-12","3","6806","ヒロセ電機","電気機器","9024.4619140625","889478039.635742","2005165430.41406"
"2000-05-12","4","9090","ＡＺ－ＣＯＭ丸和ホールディングス","陸運業","120.708023071289","31287519.5800781","39809429.4482421"
"2000-05-12","5","8142","トーホー","卸売業","393.109466552734","1132155.26367187","1201083.55078125"
"2000-05-15","1","7203","トヨタ自動車","輸送用機器","575.602966308594","9500326958.92334","9767501944.27491"
"2000-05-15","2","7752","リコー","電気機器","1348.22229003906","1530232299.19433","3084456001.29395"
"2000-05-15","3","6806","ヒロセ電機","電気機器","9085.642578125","620040592.101563","1920102493.60195"
"2000-05-15","4","9090","ＡＺ－ＣＯＭ丸和ホールディングス","陸運業","122.68684387207","9029751.70898435","40075382.7539062"
"2000-05-15","5","8142","トーホー","卸売業","395.396240234375","2657062.734375","1510235.80664062"
"2000-05-16","1","2914","日本たばこ産業","食料品","369.880065917969","214345498199.463","400713266308.594"
"2000-05-16","2","9432","ＮＴＴ","情報・通信業","70.5110778808594","223872672271.729","268382032928.467"
"2000-05-16","3","6857","アドバンテスト","電気機器","2277.72827148438","14019873056.6407","28507351819.7656"
"2000-05-16","4","6758","ソニーグループ","電気機器","1928.24890136719","12493124631.958","23657135266.9556"
